成果作者,成果标题
"['吴瑛', '陈玉玲', '邓颖', '吴芳琴', '岳鹏', '刘溢思', '张艳']",用于患者服药远程监控的服药提醒系统及方法
"['吴瑛', '陈玉玲', '邓颖', '吴芳琴', '岳鹏', '刘溢思', '张艳']",用于提供冠心病延续性护理的远程医疗系统及方法
"['吴瑛', '陈玉玲', '邓颖', '吴芳琴']",用于健康行为干预的云端管理数据库建立方法及系统
"['吴瑛', '陈玉玲', '邓颖', '吴芳琴', '岳鹏', '刘溢思', '张艳']",基于移动智能终端的辅助戒烟智能规划系统及方法
"['张宏', '王清远', '刘永杰', '王宠', '李浪']",基于Abaqus平台疲劳损伤与寿命评估方法
"['何超', '王清远', '刘永杰', '李雪', '李浪', '张宏', '王宠']",基于固有频率的超声疲劳裂纹扩展速率测量方法
"['陈尧', '刘永杰', '王清远']",基于热耗散的高效率原位超声疲劳实验系统及其实现方法
"['张宏', '王清远', '刘永杰', '王宠', '李浪']",面心立方材料疲劳过程晶体塑性本构模型建立方法
"['李浪', '王清远', '刘永杰', '董江峰']",一种非接触式多尺度裂纹识别方法
"['张宏', '张玮', '王林森', '王清远', '刘永杰', '李浪', '何超', '王宠']",基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
"['张宏', '王清远', '刘永杰', '王宠', '何超', '李浪']",一种基于机器学习的材料抗疲劳优化设计方法
"['何超', '王清远', '王宠', '刘永杰', '李雪', '李浪', '张宏']",一种统一试样尺寸的超声疲劳应力放大装置
"['张宏', '王清远', '刘永杰', '王宠', '李浪']",基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
"['林鹏飞', '游进军', '贾玲', '蒋云钟', '方国华', '汪林', '薛志春', '付敏', '刘鼎', '闫腾', '姚懿真']",一种基于粒子群算法水库多目标供水能力优化方法
"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张书函', '王丽晶', '张岑', '周星', '卢亚静', '于磊', '邱颖', '杨思敏', '赵曦月']",一种用于检测河道防汛水位的监测预警系统
"['游进军', '薛志春', '林鹏飞', '牛存稳', '魏娜', '贺华翔', '马真臻', '杨朝晖', '王婷']",一种基于二层结构的流域生态调度方法
"['游进军', '贾玲', '林鹏飞', '薛志春']",一种跨流域调水工程的配置调度方法及装置
"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张书函', '于磊', '卢亚静', '杨思敏', '赵飞', '张岑', '王丽晶', '周星', '孙冉']",一种用于城市道路的分布式排水装置
"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张书函', '孙冉', '邱颖', '张岑', '卢亚静', '王丽晶', '赵飞']",分布式堤防安全监测系统
"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张岑', '邱颖', '于磊', '张书函', '周星', '张冠宇', '赵羲月']",一种用于雨水箅子的防溢流装置
"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '于磊', '邱颖', '杨思敏', '赵飞', '王丽晶', '卢亚静', '周星', '张岑', '张冠宇']",一种用于河道建筑物的鱼嘴型防洪装置
"['王希晨', '张健', '俞晓东', '陈胜']",双滑道旋流式侧壁消能竖井
"['陈胜', '张健', '范呈昱', '许听雨', '俞晓东', '张磊']",一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
"['魏佳芳', '张健', '俞晓东', '陈胜']",直流式竖井结构卷吸气量及管内气压的计算方法
"['陈胜', '张健', '范呈昱', '许听雨', '俞晓东', '张磊']",一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
"['俞晓东', '营佳玮', '张健', '陈胜', '郑雪莲']",一种改变城市深隧滞留气团排出位置及时间的结构
"['范呈昱', '张健', '许听雨', '张磊', '俞晓东', '陈胜']",一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
"['石林', '张健', '刘芳', '俞晓东', '王兴涛', '赵文龙']",一种解决高扬程输水系统正压过大的阀门操作方法
"['陈胜', '张健', '张小莹', '俞晓东', '王晶', '陈雪']",一种岩塞爆破水气过渡过程水力特性的计算方法
"['张健', '张小莹', '范呈昱', '俞晓东', '陈胜', '陈旭云', '倪尉翔']",大进气条件下真空破坏阀的模型计算方法
"['刘芳', '俞晓东', '张健', '陈胜', '倪尉祥', '蒋捷']",消能箱
"['俞晓东', '杨秀维', '张健', '陈胜', '汤盼鑫']",一种基于曲柄连杆传力的竖井消能及储能装置
"['魏佳芳', '张健', '俞晓东', '陈胜']",降低吸入气体量的直流式跌水结构
"['营佳玮', '俞晓东', '张健', '陈胜', '许听雨']",用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
['胡晗'],分散式挑流消能工冲坑深度的预测方法
"['李宗坤', '莫向明', '施雯珂', '葛巍', '张亚东']",一种便捷的堤坝临水侧渗漏定位装置
"['葛巍', '李宗坤', '张兆省', '皇甫泽华', '程荣川']",一种水利工程水闸结构
"['左颖', '柯超凡', '张萌', '陶飞']",一种基于自更新模型的流程型生产设备产品质量预测方法
"['陶飞', '汪轶群', '王雨澄', '左颖', '邹孝付']",一种数字孪生驱动的数控机床刀具监控系统
"['陶飞', '邹孝付', '左颖']",一种数字孪生系统复杂任务可配置高效求解方法和系统
"['陶飞', '王雨澄', '左颖', '黄巍']",一种数字孪生驱动的复杂装备故障预测方法
"['陶飞', '王雨澄', '左颖']",一种数字孪生驱动的热压罐管控系统
"['左颖', '曲明昊', '陶飞']",基于改进类电磁机制算法的绿色柔性作业车间调度方法
"['左颖', '任天翔', '王钰淇', '乔运华', '孙嘉玉', '邹孝付', '陶飞']",一种适于制造过程规划的智能优化算法推荐方法
"['陶飞', '张萌', '左颖']",一种基于数字孪生的车间调度方法
"['刘蔚然', '陶飞', '程江峰', '左颖']",一种基于机器视觉的数字孪生模型修正方法与系统
"['田凌', '郑孟蕾', '代菁洲', '刘思超']",基于图数据库的机械产品数字孪生模型分层建模方法
"['田凌', '陈俊宇', '张承巍', '刘果']",一种基于接触加热的弯曲钞票展平装置
"['田凌', '刘果', '张承巍', '陈俊宇']",一种基于红外加热的弯曲钞票展平装置
"['聂如松', '冷伍明', '程龙虎', '董俊利', '魏广帅', '杨奇', '徐方', '梅慧浩', '赵春彦', '杜市委']",一种用于路基监测的沉降板
"['聂如松', '董俊利', '魏广帅', '冷伍明', '程龙虎', '杨奇', '徐方', '梅慧浩', '赵春彦', '杜市委']",一种路基沉降监测装置
"['徐方', '韩諝', '冷伍明', '聂如松', '杨奇']",一种真空-堆载联合预压下塑料排水板地基的模型试验装置
"['刘路广', '吴瑕', '关洪林', '潘少斌', '杨小伟', '董苇', '张建涛', '陈绪勋']",虾稻共作灌溉定额计算方法
"['刘路广', '吴瑕', '关洪林', '崔远来', '潘少斌', '杨小伟', '王剑', '焦平金', '董苇', '张建涛', '陈绪勋']",水稻作物系数计算方法以及水稻灌溉系统
"['宋玲', '鄢璞', '胡超', '邓世恒']",一种用于缆机吊罐入仓过程中的吊罐防摆装置和方法
